Company,Role,Job Title,Country,Gender,Qualification,Work Type,Experience,Salary ($),Job Portal,Company Value ($M),Latitude,Posting Date
"Hartman, Jones and Pace",Art Teacher,Data Scientist,France,Male,B.Tech,Intern,4.3,12454.85,Monster,4.77,51.174083616024376,2023-12-14
Thomas-Johnson,UX Designer,Data Scientist,France,Male,MBA,Full time,2.3,16121.02,Monster,7.31,51.174083616024376,2023-09-09
"Mullen, Hall and Torres",Data Scientist,Data Scientist,UK,Male,PhD,Part time,5.5,5971.64,LinkedIn,3.95,-26.85430197714004,2023-04-27
Walsh-Smith,Art Teacher,Data Scientist,USA,Female,B.Tech,Part time,0.0,18458.14,Monster,9.6,66.92586787149776,2023-05-24
Crawford-Morrison,Data Scientist,Data Scientist,USA,Male,M.Tech,Full time,2.7,15825.56,Monster,3.84,66.92586787149776,2023-04-16
"Allen, Williams and Spears",Data Scientist,Art Teacher,India,Male,PhD,Intern,8.0,6719.9,Naukri,9.66,-3.9308056415674457,2023-09-12
Nelson LLC,Data Engineer,Data Scientist,Australia,Female,MBA,Intern,0.2,5648.67,Naukri,6.06,-66.90707543854938,2023-09-03
"Cabrera, Lee and Caldwell",Data Engineer,Aerospace Engineer,Brazil,Female,B.Tech,Intern,1.1,17138.02,Monster,5.59,59.97537301382212,2023-09-08
Hayes-Miller,Data Engineer,Art Teacher,India,Male,PhD,Contract,5.9,12337.13,Naukri,0.76,-3.9308056415674457,2023-06-09
Anderson-Evans,Account Director,Aerospace Engineer,UK,Male,B.Tech,Full time,2.2,18570.44,Naukri,9.11,-26.85430197714004,2023-11-08
Bates-Juarez,Aerospace Engineer,Art Teacher,Brazil,Male,B.Tech,Contract,5.9,5838.98,Indeed,6.18,59.97537301382212,2023-01-30
Leonard-Smith,Data Scientist,Data Scientist,India,Female,B.Tech,Intern,3.5,10322.87,Monster,6.86,-3.9308056415674457,2023-01-05
Williams-Lopez,Aerospace Engineer,Art Teacher,Australia,Female,B.Tech,Contract,3.0,8201.34,Naukri,6.53,-66.90707543854938,2023-09-14
"Anderson, Wong and Hall",Account Director,Art Teacher,Australia,Male,MBA,Intern,0.4,5989.89,Indeed,1.97,-66.90707543854938,2023-01-02
Hayes-Miller,Art Teacher,Data Scientist,India,Male,B.Tech,Part time,1.0,12564.6,Naukri,8.16,-3.9308056415674457,2023-10-16
"Hernandez, Henry and Roberts",Account Director,Data Scientist,Australia,Male,B.Tech,Full time,1.2,16680.55,LinkedIn,9.87,-66.90707543854938,2023-02-23
Anderson-Evans,Aerospace Engineer,Art Teacher,Germany,Female,B.Tech,Part time,4.2,8193.06,Naukri,5.6,-56.96839776870654,2023-12-26
Bates-Juarez,Art Teacher,Data Scientist,Australia,Male,PhD,Intern,4.2,7446.1,Monster,4.77,-66.90707543854938,2023-04-10
Hayes-Miller,Cloud Architect,Data Scientist,Australia,Male,M.Tech,Intern,8.8,12318.94,LinkedIn,6.4,-66.90707543854938,2023-07-16
Hayes-Miller,Account Director,Account Director,Germany,Female,M.Tech,Intern,2.8,16325.64,Indeed,5.54,-56.96839776870654,2023-12-14
Thomas-Johnson,Data Scientist,Account Director,Brazil,Male,B.Tech,Intern,7.5,9490.88,Naukri,6.41,59.97537301382212,2023-04-03
Thomas-Johnson,Cloud Architect,Account Director,Germany,Male,B.Tech,Part time,1.0,5741.9,Monster,4.22,-56.96839776870654,2023-12-23
"Allen, Williams and Spears",Cloud Architect,Art Teacher,UK,Female,M.Tech,Contract,8.8,12375.47,Monster,7.55,-26.85430197714004,2023-02-05
"Allen, Williams and Spears",Data Engineer,Data Scientist,UK,Male,MBA,Contract,9.8,19993.43,LinkedIn,5.01,-26.85430197714004,2023-08-06
"Nguyen, Mccormick and Ortiz",Cloud Architect,Aerospace Engineer,France,Male,PhD,Intern,0.5,12591.32,LinkedIn,3.07,51.174083616024376,2023-04-06
"Zimmerman, Ellis and Smith",Data Engineer,Data Scientist,USA,Male,B.Tech,Part time,7.2,11876.97,LinkedIn,4.47,66.92586787149776,2023-02-24
Anderson-Evans,Data Engineer,Account Director,Australia,Male,B.Tech,Contract,3.2,18660.06,Indeed,1.56,-66.90707543854938,2023-08-03
"Pittman, Gutierrez and Munoz",Data Engineer,Aerospace Engineer,Germany,Male,MBA,Contract,6.8,17189.07,Naukri,6.18,-56.96839776870654,2023-04-27
Walsh-Smith,Cloud Architect,Data Scientist,UK,Male,B.Tech,Full time,8.5,8180.08,Indeed,1.84,-26.85430197714004,2023-12-15
"Alvarado, Mcbride and Valenzuela",UX Designer,Account Director,UK,Male,B.Tech,Full time,7.4,11638.99,Monster,4.29,-26.85430197714004,2023-09-26
"Hartman, Jones and Pace",Data Scientist,Aerospace Engineer,Brazil,Male,B.Tech,Intern,2.5,18734.61,Naukri,5.07,59.97537301382212,2023-01-30
Schultz-Adams,Cloud Architect,Account Director,UK,Female,B.Tech,Full time,5.2,10976.94,Indeed,1.07,-26.85430197714004,2023-11-12
"Humphrey, Nash and Lee",Aerospace Engineer,Data Scientist,Germany,Female,M.Tech,Contract,5.7,19735.05,Monster,8.75,-56.96839776870654,2023-08-26
"Hartman, Jones and Pace",Art Teacher,Art Teacher,France,Male,B.Tech,Full time,8.3,16238.05,Naukri,5.32,51.174083616024376,2023-10-06
"Nguyen, Mccormick and Ortiz",Data Engineer,Art Teacher,Brazil,Female,B.Tech,Contract,9.4,16026.44,LinkedIn,3.27,59.97537301382212,2023-05-19
Walsh-Smith,Cloud Architect,Account Director,Australia,Male,B.Tech,Part time,6.5,10481.87,Monster,5.11,-66.90707543854938,2023-10-11
Thomas-Johnson,UX Designer,Account Director,India,Female,B.Tech,Intern,1.0,11457.78,Naukri,6.31,-3.9308056415674457,2023-10-02
"Anderson, Wong and Hall",UX Designer,Aerospace Engineer,France,Male,B.Tech,Intern,2.9,6553.0,Naukri,7.26,51.174083616024376,2023-09-15
Hayes-Miller,UX Designer,Account Director,France,Female,B.Tech,Part time,6.6,14530.37,Indeed,6.32,51.174083616024376,2023-11-12
Nelson LLC,Data Scientist,Account Director,India,Male,M.Tech,Intern,7.7,13793.2,Indeed,5.47,-3.9308056415674457,2023-01-06
"Allen, Williams and Spears",UX Designer,Account Director,Australia,Male,B.Tech,Intern,0.4,6664.25,Indeed,1.16,-66.90707543854938,2023-11-03
Hayes-Miller,Account Director,Art Teacher,Australia,Female,B.Tech,Full time,5.4,7082.11,Monster,6.25,-66.90707543854938,2023-10-29
Williams-Lopez,UX Designer,Account Director,Brazil,Female,M.Tech,Full time,5.2,10359.03,LinkedIn,1.77,59.97537301382212,2023-11-06
"Terry, Garcia and Rogers",UX Designer,Aerospace Engineer,UK,Female,B.Tech,Contract,1.9,8601.15,LinkedIn,7.13,-26.85430197714004,2023-02-07
"Cabrera, Lee and Caldwell",Data Scientist,Account Director,India,Male,M.Tech,Part time,0.9,17439.26,Indeed,5.07,-3.9308056415674457,2023-10-05
"Galvan, Evans and Riddle",Data Scientist,Aerospace Engineer,Australia,Male,B.Tech,Part time,5.0,5052.87,LinkedIn,6.62,-66.90707543854938,2023-12-22
Thomas-Johnson,Cloud Architect,Art Teacher,Germany,Female,B.Tech,Part time,6.4,9106.67,Monster,0.75,-56.96839776870654,2023-03-26
Anderson-Evans,Data Scientist,Art Teacher,UK,Male,B.Tech,Contract,9.3,11467.34,Indeed,5.03,-26.85430197714004,2023-10-06
Bates-Juarez,UX Designer,Account Director,Australia,Female,B.Tech,Part time,9.1,15784.05,Naukri,4.22,-66.90707543854938,2023-08-24
Crawford-Morrison,Data Engineer,Data Scientist,Brazil,Female,M.Tech,Intern,7.3,15578.32,Monster,8.87,59.97537301382212,2023-12-19
Walsh-Smith,Aerospace Engineer,Art Teacher,USA,Male,MBA,Full time,5.9,6148.09,Naukri,3.61,66.92586787149776,2023-06-02
Mccann Group,UX Designer,Aerospace Engineer,Brazil,Male,B.Tech,Full time,5.1,11425.69,Monster,5.67,59.97537301382212,2023-06-04
Williams-Lopez,Cloud Architect,Art Teacher,India,Male,MBA,Contract,3.2,14969.04,LinkedIn,6.9,-3.9308056415674457,2023-08-30
"Hernandez, Henry and Roberts",UX Designer,Account Director,Germany,Female,M.Tech,Full time,1.1,11059.44,Indeed,9.37,-56.96839776870654,2023-03-22
Walsh-Smith,Aerospace Engineer,Data Scientist,Germany,Male,B.Tech,Contract,6.8,9373.85,Naukri,8.29,-56.96839776870654,2023-11-11
"Hutchinson, Snyder and Bennett",Cloud Architect,Aerospace Engineer,USA,Male,B.Tech,Part time,7.6,18682.29,Naukri,1.98,66.92586787149776,2023-06-24
Leonard-Smith,Data Engineer,Aerospace Engineer,Germany,Female,B.Tech,Part time,8.3,9308.0,Monster,9.71,-56.96839776870654,2023-10-20
"Bradley, Hernandez and Hancock",Art Teacher,Data Scientist,Brazil,Female,MBA,Contract,4.2,5633.4,LinkedIn,9.11,59.97537301382212,2023-04-23
Thomas-Johnson,Account Director,Aerospace Engineer,UK,Male,PhD,Full time,9.0,17284.0,Monster,9.93,-26.85430197714004,2023-11-22
Nelson LLC,Data Engineer,Art Teacher,France,Female,B.Tech,Contract,7.9,10271.37,Indeed,2.58,51.174083616024376,2023-10-20
"Cabrera, Lee and Caldwell",Data Engineer,Art Teacher,Germany,Male,PhD,Full time,3.4,15233.2,Naukri,2.5,-56.96839776870654,2023-09-07
"Allen, Williams and Spears",Cloud Architect,Art Teacher,France,Female,B.Tech,Full time,1.5,6033.76,LinkedIn,6.02,51.174083616024376,2023-06-17
"Mullen, Hall and Torres",Cloud Architect,Data Scientist,Germany,Male,M.Tech,Contract,2.9,11030.8,Monster,5.41,-56.96839776870654,2023-11-15
"Humphrey, Nash and Lee",Cloud Architect,Account Director,India,Male,MBA,Intern,6.3,8465.76,Indeed,8.01,-3.9308056415674457,2023-05-07
Williams-Lopez,UX Designer,Data Scientist,India,Male,B.Tech,Part time,5.5,9792.99,Indeed,4.17,-3.9308056415674457,2023-12-02
"Bradley, Hernandez and Hancock",Data Scientist,Account Director,UK,Male,PhD,Intern,7.2,12879.0,Naukri,6.43,-26.85430197714004,2023-12-24
Bates-Juarez,Art Teacher,Data Scientist,Brazil,Male,MBA,Full time,8.0,9926.83,Monster,2.73,59.97537301382212,2023-11-05
"Pittman, Gutierrez and Munoz",UX Designer,Art Teacher,France,Female,B.Tech,Part time,2.4,16262.86,LinkedIn,5.1,51.174083616024376,2023-03-22
"Hernandez, Henry and Roberts",Data Engineer,Art Teacher,Australia,Female,M.Tech,Part time,0.7,12381.19,LinkedIn,4.05,-66.90707543854938,2023-04-05
Mccann Group,Aerospace Engineer,Data Scientist,UK,Male,B.Tech,Contract,9.7,14815.32,Indeed,4.05,-26.85430197714004,2023-04-09
"Nguyen, Mccormick and Ortiz",Aerospace Engineer,Art Teacher,Brazil,Male,B.Tech,Part time,4.5,6909.52,Naukri,1.68,59.97537301382212,2023-03-12
"Cabrera, Lee and Caldwell",Account Director,Account Director,USA,Female,MBA,Contract,8.2,6803.02,Monster,2.02,66.92586787149776,2023-04-12
"Galvan, Evans and Riddle",Data Scientist,Account Director,Australia,Male,PhD,Contract,8.3,8917.67,Monster,5.38,-66.90707543854938,2023-07-23
White Group,Art Teacher,Account Director,Germany,Female,B.Tech,Part time,4.2,19827.07,LinkedIn,7.75,-56.96839776870654,2023-12-19
"Terry, Garcia and Rogers",Aerospace Engineer,Art Teacher,USA,Female,M.Tech,Full time,5.1,6680.8,Naukri,3.15,66.92586787149776,2023-07-28
White Group,Aerospace Engineer,Art Teacher,Germany,Male,B.Tech,Full time,0.7,17890.08,Naukri,6.2,-56.96839776870654,2023-06-30
"Hernandez, Henry and Roberts",Data Engineer,Aerospace Engineer,Germany,Female,PhD,Contract,0.2,11966.73,Monster,2.11,-56.96839776870654,2023-02-27
Williams-Lopez,UX Designer,Account Director,USA,Female,PhD,Contract,7.8,12669.81,LinkedIn,2.92,66.92586787149776,2023-09-17
Graham Ltd,Art Teacher,Aerospace Engineer,UK,Male,M.Tech,Full time,8.8,10129.19,Naukri,1.91,-26.85430197714004,2023-01-13
Graham Ltd,Data Scientist,Aerospace Engineer,UK,Male,PhD,Part time,7.5,10100.82,Monster,9.46,-26.85430197714004,2023-04-17
Nelson LLC,UX Designer,Art Teacher,France,Female,MBA,Intern,4.7,5913.0,Indeed,3.41,51.174083616024376,2023-08-05
Graham Ltd,UX Designer,Data Scientist,USA,Male,B.Tech,Contract,6.6,15937.48,Monster,8.87,66.92586787149776,2023-11-15
"Byrd, Randall and Crosby",Aerospace Engineer,Art Teacher,India,Male,MBA,Intern,9.5,17136.91,Indeed,4.88,-3.9308056415674457,2023-03-13
Anderson-Evans,Account Director,Aerospace Engineer,USA,Female,B.Tech,Part time,6.6,16860.13,Naukri,1.12,66.92586787149776,2023-07-28
"Alvarado, Mcbride and Valenzuela",Cloud Architect,Data Scientist,France,Male,B.Tech,Full time,8.7,12412.0,Naukri,5.66,51.174083616024376,2023-12-17
"Pittman, Gutierrez and Munoz",Data Scientist,Data Scientist,Australia,Male,B.Tech,Part time,7.3,8358.97,LinkedIn,7.94,-66.90707543854938,2023-10-30
White Group,Cloud Architect,Aerospace Engineer,Australia,Male,B.Tech,Full time,1.3,15604.51,Monster,9.57,-66.90707543854938,2023-09-28
"Byrd, Randall and Crosby",Data Engineer,Data Scientist,UK,Female,PhD,Full time,7.1,10292.71,LinkedIn,7.5,-26.85430197714004,2023-05-12
"Zimmerman, Ellis and Smith",Data Engineer,Account Director,France,Male,B.Tech,Part time,8.8,6343.07,Indeed,6.83,51.174083616024376,2023-06-25
"Anderson, Wong and Hall",Cloud Architect,Art Teacher,UK,Female,B.Tech,Part time,3.7,16794.18,LinkedIn,5.56,-26.85430197714004,2023-07-26
"Anderson, Wong and Hall",Cloud Architect,Aerospace Engineer,Brazil,Female,MBA,Intern,5.4,16559.51,Naukri,6.67,59.97537301382212,2023-05-28
"Anderson, Wong and Hall",Aerospace Engineer,Data Scientist,India,Male,B.Tech,Contract,2.8,9949.69,Monster,4.87,-3.9308056415674457,2023-12-19
"Wallace, Hughes and Haynes",UX Designer,Account Director,UK,Male,B.Tech,Intern,4.7,11005.59,Naukri,8.53,-26.85430197714004,2023-12-21
"Galvan, Evans and Riddle",Aerospace Engineer,Art Teacher,Australia,Male,PhD,Full time,8.6,13597.51,Monster,9.55,-66.90707543854938,2023-01-31
Mccann Group,UX Designer,Art Teacher,USA,Female,B.Tech,Full time,1.4,10570.27,Naukri,1.71,66.92586787149776,2023-12-20
Nelson LLC,Account Director,Account Director,India,Male,B.Tech,Contract,5.7,14755.38,LinkedIn,9.94,-3.9308056415674457,2023-02-15
White Group,Cloud Architect,Art Teacher,USA,Female,B.Tech,Contract,8.0,19761.67,Naukri,9.12,66.92586787149776,2023-03-25
"Bradley, Hernandez and Hancock",Data Engineer,Art Teacher,Brazil,Male,B.Tech,Part time,6.0,19107.86,Monster,4.56,59.97537301382212,2023-07-14
Bates-Juarez,Data Scientist,Aerospace Engineer,Germany,Female,MBA,Contract,7.8,17022.09,Indeed,5.54,-56.96839776870654,2023-08-13
"Allen, Williams and Spears",Art Teacher,Art Teacher,USA,Male,MBA,Intern,9.1,11556.31,Naukri,8.22,66.92586787149776,2023-08-06
"Hutchinson, Snyder and Bennett",Account Director,Account Director,USA,Female,M.Tech,Contract,6.1,7559.74,Monster,1.8,66.92586787149776,2023-07-08
Thomas-Johnson,UX Designer,Data Scientist,India,Male,B.Tech,Intern,5.6,5896.09,Indeed,2.59,-3.9308056415674457,2023-02-24
Crawford-Morrison,Cloud Architect,Art Teacher,Germany,Male,MBA,Full time,1.1,10521.03,Monster,3.9,-56.96839776870654,2023-12-10
Walsh-Smith,UX Designer,Art Teacher,USA,Male,B.Tech,Part time,1.5,6817.57,Monster,3.24,66.92586787149776,2023-06-28
"Alvarado, Mcbride and Valenzuela",UX Designer,Aerospace Engineer,UK,Female,B.Tech,Full time,4.7,6837.69,Indeed,6.02,-26.85430197714004,2023-01-27
"Allen, Williams and Spears",Cloud Architect,Account Director,Brazil,Male,MBA,Intern,2.5,16891.67,LinkedIn,2.93,59.97537301382212,2023-11-24
"Hernandez, Henry and Roberts",Art Teacher,Account Director,USA,Female,B.Tech,Contract,2.2,12234.9,Naukri,5.47,66.92586787149776,2023-02-19
"Mullen, Hall and Torres",Account Director,Account Director,India,Male,B.Tech,Intern,1.7,13652.3,Indeed,4.63,-3.9308056415674457,2023-11-01
Leonard-Smith,Art Teacher,Account Director,India,Female,B.Tech,Intern,3.9,17565.99,Naukri,2.98,-3.9308056415674457,2023-04-24
"Hartman, Jones and Pace",Cloud Architect,Account Director,UK,Female,B.Tech,Part time,3.4,7712.12,Naukri,6.79,-26.85430197714004,2023-10-28
"Allen, Williams and Spears",Cloud Architect,Art Teacher,UK,Male,PhD,Part time,9.0,13808.6,Monster,5.65,-26.85430197714004,2023-05-16
Nelson LLC,Account Director,Aerospace Engineer,Germany,Male,M.Tech,Part time,1.4,18935.5,Monster,3.55,-56.96839776870654,2023-03-15
"Terry, Garcia and Rogers",Account Director,Aerospace Engineer,Australia,Female,B.Tech,Full time,1.6,14490.63,Indeed,3.22,-66.90707543854938,2023-08-18
"Byrd, Randall and Crosby",Data Engineer,Art Teacher,India,Male,M.Tech,Part time,6.3,13353.32,Naukri,4.86,-3.9308056415674457,2023-09-26
"Mullen, Hall and Torres",Aerospace Engineer,Account Director,USA,Female,B.Tech,Contract,2.8,17024.21,Naukri,7.72,66.92586787149776,2023-11-28
Thomas-Johnson,Data Scientist,Aerospace Engineer,UK,Female,B.Tech,Contract,8.3,19259.72,LinkedIn,7.21,-26.85430197714004,2023-01-12
"Wallace, Hughes and Haynes",Cloud Architect,Account Director,Brazil,Male,B.Tech,Intern,5.0,10244.81,LinkedIn,0.58,59.97537301382212,2023-11-02
"Wallace, Hughes and Haynes",UX Designer,Aerospace Engineer,France,Female,B.Tech,Intern,0.9,11324.39,Naukri,6.56,51.174083616024376,2023-06-30
Hayes-Miller,Account Director,Art Teacher,Australia,Female,B.Tech,Part time,1.7,14848.87,LinkedIn,7.61,-66.90707543854938,2023-03-19
"Terry, Garcia and Rogers",Aerospace Engineer,Data Scientist,France,Female,B.Tech,Contract,8.1,7462.05,Monster,2.84,51.174083616024376,2023-04-25
Nelson LLC,Cloud Architect,Data Scientist,India,Female,B.Tech,Contract,8.9,19057.43,LinkedIn,1.65,-3.9308056415674457,2023-06-21
Crawford-Morrison,Data Scientist,Account Director,UK,Male,B.Tech,Contract,4.1,13108.98,Indeed,5.11,-26.85430197714004,2023-09-10
"Bradley, Hernandez and Hancock",Art Teacher,Data Scientist,India,Male,B.Tech,Intern,1.2,18136.12,Monster,3.25,-3.9308056415674457,2023-04-21
Nelson LLC,Art Teacher,Account Director,Australia,Female,B.Tech,Part time,3.7,8410.18,Indeed,8.88,-66.90707543854938,2023-03-16
Leonard-Smith,Data Engineer,Art Teacher,Brazil,Male,B.Tech,Intern,1.5,18547.42,Naukri,1.96,59.97537301382212,2023-08-23
"Cabrera, Lee and Caldwell",Cloud Architect,Account Director,France,Female,M.Tech,Part time,0.0,14747.23,Naukri,3.69,51.174083616024376,2023-08-18
